age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,cleanliness_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Yes,Yes,Coventry Place
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,No,Wood Meadows
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,Occasionally,Whitmore Park
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,No,Eastgate
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,Arnhem Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,Mirror Sun Gardens
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Sometimes,No,Mayfair
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,No,Yes,Lakeview South
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,North Regina
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Occasionally,Industrial Centre
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,No,Yes,Rosemont North
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,No,Occasionally,Tuxedo Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,Yes,Yes,Dewdney Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,1.0,No,Occasionally,Connaught Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Yes,Wascana View
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Occasionally,River Bend
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Yes,Eastpoint Estates
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Occasionally,Dewdney Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Yes,Rosemont
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,Occasionally,Industrial Centre
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Yes,Douglas Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Sometimes,No,Creekside
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,No,Yes,Coronation Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,0.75,0.75,0.875,0.875,0.75,1.0,1.0,0.75,0.875,0.875,1.0,Yes,Occasionally,Normanview
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,No,Riverside
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,Occasionally,Riverside
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,No,Normanview West
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,Yes,Wascana Addition
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,No,Normanview West Addition
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,Occasionally,Windsor Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Yes,Occasionally,Highland Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,No,No,Uplands
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,Occasionally,Garden Ridge
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,Sometimes,Occasionally,Rosemont South
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Occasionally,McCarthy Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Yes,No,Riverside
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Occasionally,Coronation Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Yes,Walsh Acres
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Yes,Woodland Grove
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Yes,Yes,North Annex
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Occasionally,Glen Elm Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Occasionally,Albert Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,Sometimes,Occasionally,Parkridge
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,No,No,Assiniboia East
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Yes,No,Mount Royal
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,No,Windsor Park
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,Occasionally,Highland Park
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Sometimes,Yes,Highland Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,Yes,Lakeridge
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Yes,Occasionally,Coronation Park
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,Occasionally,Normanview West Addition
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,No,Yes,Lakeview
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Yes,Occasionally,River Heights
"(21, 25)",female,european/caucasian-american,Vegetarian,masters in public administration,1.0,0.4,1.0,0.75,0.9,1.0,1.0,0.6,0.2,0.4,1.0,Yes,No,Westhill
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,Occasionally,South Lakeview see Lakeview South
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,Yes,North Annex
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,No,No,Dieppe Place
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,No,Rochdale Park
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Sometimes,Yes,North Annex
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Sometimes,Yes,Glen Elm Park
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Sometimes,No,Wascana Crescents
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Occasionally,River Bend
"(26, 30)",female,other,Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Sometimes,Occasionally,Balbrigan Place
"(26, 30)",female,other,Non-Vegetarian,masters in public administration,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.4,0.2,0.8,1.0,Yes,Yes,Normanview
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Occasionally,Assiniboia East
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Sometimes,Occasionally,Connaught Park
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Yes,McCarthy Park
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Sometimes,Occasionally,Wascana Crescents
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Yes,South Lakeview see Lakeview South
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Yes,Old 33
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,Yes,Regent Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Yes,Yes,Dieppe Place
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,Sometimes,Occasionally,Arnhem Place
"(26, 30)",female,european/caucasian-american,Vegetarian,masters of social work&education,1.0,0.2,0.875,1.0,0.875,1.0,0.875,0.875,0.9,0.9,0.8,No,No,Connaught Park
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Occasionally,Eastgate
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Yes,Windsor Place
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Yes,Mount Pleasant
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,No,Rothwell Place
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Yes,Occasionally,Eastpoint Estates
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,No,River Heights
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Occasionally,River Heights
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,No,Wascana Crescents
"(26, 30)",male,european/caucasian-american,Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,Occasionally,Sherwood Estates
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,finance,0.9,1.0,0.75,1.0,1.0,0.4,0.8,1.0,0.4,1.0,0.6,Sometimes,No,Dieppe Place
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Yes,Premier Place
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,Occasionally,Walsh Acres
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,No,Arcola Sub
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,Occasionally,Rosemont North
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,No,Grand Trunk Annex
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,No,Glencairn
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Yes,Yes,Parkridge
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,Yes,Fairways West
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,Sometimes,Occasionally,Wascana Addition
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,0.6,1.0,0.9,0.875,0.75,1.0,0.6,0.9,0.9,1.0,No,Yes,South Lakeview see Lakeview South
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Occasionally,Normanview
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Occasionally,Glencairn
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Occasionally,Wascana Addition
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Yes,Transcona
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Yes,Creekside
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Yes,Occasionally,Arcola Sub
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,No,No,Windsor Place
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,No,No,Arnhem Place
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,Sometimes,Occasionally,Assiniboia Place
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.875,0.9,0.9,1.0,1.0,0.875,0.8,0.4,0.875,1.0,No,No,Argyle Park
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Yes,Occasionally,Lakeridge
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Yes,Wascana Park
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,Occasionally,Harbour Landing
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Yes,Occasionally,North Regina
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Yes,Occasionally,Lewvan Park
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,No,Broders Annex
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Yes,Wascana View
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,No,Woodland Grove
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,No,No,River Heights
"(21, 25)",male,european/caucasian-american,Vegetarian,law,0.75,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,Sometimes,Yes,Industrial Centre
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Occasionally,McCarthy Park
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Yes,Westridge
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Occasionally,Grand Trunk Annex
"(21, 25)",male,latino/hispanic american,Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Occasionally,Lakeridge
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Sometimes,Yes,Rosemont South
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,No,Yes,Industrial Centre
"(21, 25)",male,latino/hispanic american,Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Yes,North Annex
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Yes,Crescents
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Yes,Wascana Addition
"(21, 25)",male,latino/hispanic american,Non-Vegetarian,law,1.0,0.875,0.875,0.875,0.9,0.75,0.9,0.75,0.9,0.9,1.0,Yes,Occasionally,Douglas Place
